date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover,5ema,10ema,22ema,66ema
2023-12-13,6846,46000,3460200,75.4,75.5,75.0,75.2,-0.6,36,75.09648501027245,74.54570367563393,74.18880850465834,76.59904405348554
2023-12-14,6846,38000,2934000,75.6,79.1,75.6,76.2,1.0,36,75.46432334018164,74.84648482551867,74.36369472164458,76.58713229069492
2023-12-15,6846,71000,5504200,76.5,78.2,76.5,77.7,1.5,60,76.20954889345442,75.36530576633346,74.65380822411026,76.62035222231597
2023-12-18,6846,15000,1158500,76.5,77.7,76.5,77.2,-0.5,14,76.53969926230295,75.69888653609101,74.87521620462242,76.6376551410528
2023-12-19,6846,29000,2267600,77.7,78.6,77.7,78.3,1.1,28,77.12646617486863,76.17181625680173,75.17302349117699,76.68727737564824
2023-12-20,6846,90000,7211500,78.5,81.1,78.5,79.6,1.3,66,77.95097744991241,76.79512239192869,75.55797797020507,76.77422431965874
2023-12-21,6846,28000,2209100,79.2,79.5,78.4,79.5,-0.1,23,78.46731829994161,77.28691832066893,75.90076249453507,76.85559075787789
2023-12-22,6846,29000,2286800,79.5,79.6,78.5,78.8,-0.7,26,78.57821219996107,77.5620240805473,76.15287010370594,76.91363282480691
2023-12-25,6846,15000,1175400,78.8,78.8,77.3,78.0,-0.8,15,78.38547479997405,77.64165606590234,76.31349009468804,76.9460616957082
2023-12-26,6846,13000,1003800,76.6,78.2,76.5,77.5,-0.5,9,78.09031653331603,77.61590041755646,76.41666486906298,76.9625971674781
2023-12-27,6846,35000,2710600,77.6,78.2,77.0,78.2,0.7,19,78.12687768887736,77.7221003416371,76.57173748914447,76.99953456546382
2023-12-28,6846,14000,1091300,78.0,78.2,77.1,78.0,-0.2,12,78.08458512591824,77.77262755224854,76.69593422921886,77.02939920530072
2023-12-29,6846,30000,2365200,78.2,79.1,78.2,79.0,1.0,28,78.38972341727883,77.99578617911244,76.89628777450417,77.0882231096201
