date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover,5ema,10ema,22ema,66ema
2023-08-30,6708,20000,864600,43.0,43.6,43.0,43.6,0.9,14,42.67601819200154,41.99518291828153,42.98631679577553,46.9579054831014
2023-08-31,6708,19000,839550,44.7,44.7,43.8,43.9,0.3,16,43.08401212800103,42.341513296775794,43.06576750918635,46.86662472241181
2023-09-01,6708,6000,264200,44.4,44.4,43.7,43.7,-0.2,6,43.289341418667355,42.5885108791802,43.12091816056145,46.772098611295036
2023-09-04,6708,8000,350150,43.75,43.8,43.75,43.8,0.1,8,43.459560945778236,42.808781628420164,43.179968755295235,46.68337924976384
2023-09-05,6708,227000,10749600,43.95,48.15,43.95,48.15,4.35,127,45.02304063051882,43.77991224143468,43.612145385269564,46.727158973651484
2023-09-06,6708,184000,8640350,48.2,48.5,45.0,46.0,0.0,128,45.348693753679214,44.18356456117383,43.819784916985256,46.705452735632036
2023-09-07,6708,58000,2604350,45.85,45.85,44.3,44.6,-1.4,52,45.09912916911948,44.259280095505865,43.887629706812625,46.642603400240034
2023-09-08,6708,19000,860550,44.8,45.5,44.8,45.2,0.6,19,45.13275277941299,44.430320078141165,44.00174886274196,46.599540612173165
2023-09-11,6708,50000,2320600,45.5,48.8,45.3,46.15,0.95,45,45.47183518627533,44.74298915484277,44.188553309460055,46.58612148942173
2023-09-12,6708,12000,554750,46.9,46.9,46.05,46.05,-0.1,9,45.66455679085022,44.9806274903259,44.350418239072226,46.570117862871825
2023-09-13,6708,13000,603500,46.1,46.9,46.1,46.75,0.7,11,46.02637119390015,45.30233158299392,44.55907752263116,46.5754874789055
2023-09-14,6708,22000,1029950,46.6,47.0,46.55,46.95,0.2,16,46.334247462600096,45.60190765881321,44.76698382501106,46.58666695714713
2023-09-15,6708,19000,889500,46.8,47.1,46.7,47.1,0.15,16,46.58949830840007,45.87428808448354,44.96985479674923,46.60199033156065
2023-09-18,6708,16000,752800,47.0,47.5,46.9,47.05,-0.05,15,46.74299887226671,46.08805388730471,45.150736988336256,46.615363754499135
2023-09-19,6708,43000,2020100,47.1,47.5,46.5,47.1,0.05,32,46.86199924817781,46.27204408961295,45.32023811978528,46.62983050809618
2023-09-20,6708,19000,901000,48.1,48.15,47.0,47.0,-0.1,15,46.90799949878521,46.40439970968332,45.46630437023873,46.6408803436754
2023-09-21,6708,27000,1257650,46.8,46.8,46.0,46.0,-1.0,19,46.60533299919014,46.3308724897409,45.51271268587015,46.621749587147775
2023-09-22,6708,7000,325400,46.1,47.05,46.1,47.05,1.05,7,46.753555332793425,46.46162294615164,45.64638984362057,46.634533181561274
2023-09-25,6708,6000,283550,47.05,47.5,47.0,47.5,0.45,6,47.002370221862286,46.65041877412407,45.80757333547965,46.66036801196243
2023-09-26,6708,20000,951050,47.6,47.8,47.15,47.2,-0.3,17,47.068246814574856,46.75034263337424,45.92865391500316,46.676476429515795
2023-09-27,6708,1000,47100,47.1,47.1,47.1,47.1,-0.1,1,47.07883120971657,46.81391670003347,46.03051009630723,46.689118924157114
2023-09-28,6708,4000,189050,47.2,47.85,47.0,47.0,-0.1,4,47.05255413981104,46.84775002730011,46.11481356619356,46.698398956271824
2023-10-02,6708,29000,1350250,47.0,47.0,45.85,46.4,-0.6,24,46.835036093207364,46.76634093142736,46.139612386524554,46.68949152474132
2023-10-03,6708,2000,92800,46.4,46.4,46.4,46.4,0.0,2,46.69002406213824,46.699733489349654,46.162254787696334,46.68084998668934
2023-10-04,6708,10000,465950,46.35,47.0,46.0,46.8,0.4,10,46.72668270809216,46.717963764013355,46.217710893114045,46.684406703504585
2023-10-05,6708,15000,704900,45.85,47.3,45.85,47.1,0.3,14,46.851121805394776,46.78742489782911,46.29443168501717,46.69681247354922
2023-10-06,6708,16000,749700,46.55,47.05,46.55,47.05,-0.05,10,46.91741453692985,46.835165825496546,46.36013327762438,46.70735538478656
2023-10-11,6708,12000,562600,47.2,47.2,46.3,46.3,-0.75,11,46.71160969128656,46.73786294813354,46.35490429696139,46.69519552255412
